date,open,high,low,close,volume,dividends,stock splits,capital gains
2019-11-14,138,138,137,138,5220500,0,0,0
2019-11-19,138,138,138,138,4824400,0,0,0
2019-11-20,138,139,138,138,6892100,0,0,0
2019-12-03,139,139,138,139,8481700,0,0,0
2019-12-04,139,139,138,138,6322300,0,0,0
2019-12-05,138,139,138,139,5671500,0,0,0
2019-12-11,138,139,138,138,6097500,0,0,0
2019-12-12,139,139,137,138,8815100,0,0,0
2019-12-13,138,139,137,139,6964300,0,0,0
2019-12-16,139,139,138,139,4646100,0,0,0
2019-12-17,139,139,138,139,4287500,0,0,0
2019-12-18,138,139,138,139,3607600,0,0,0
2019-12-19,139,139,138,139,4975000,0,0,0
2019-12-20,139,139,138,139,4463900,0,0,0
2019-12-23,139,139,139,139,5180900,0,0,0
2019-12-24,140,141,140,141,5303700,0,0,0
2019-12-26,142,142,141,142,8342500,0,0,0
2019-12-27,142,142,142,142,5119900,0,0,0
2019-12-30,142,142,142,142,4810600,0,0,0
2019-12-31,143,143,142,142,5313500,0,0,0
2020-01-02,143,144,143,143,7733800,0,0,0
2020-01-03,145,146,145,145,12272800,0,0,0
2020-01-06,148,148,146,147,14403300,0,0,0
2020-01-07,147,148,147,147,7978500,0,0,0
2020-01-09,146,146,145,146,10292300,0,0,0
2020-01-10,146,146,146,146,6183300,0,0,0
2020-01-13,146,146,145,145,7593800,0,0,0
2020-01-14,145,145,145,145,6589700,0,0,0
2020-01-15,146,146,145,146,6510000,0,0,0
2020-01-16,146,146,145,146,6069100,0,0,0
2020-01-17,146,146,146,146,11121100,0,0,0
2020-01-21,145,146,145,146,6086100,0,0,0
2020-01-22,146,146,146,146,4778200,0,0,0
2020-01-23,147,147,146,147,8419800,0,0,0
2020-01-24,146,148,146,147,9919900,0,0,0
2020-01-27,149,149,148,148,9988100,0,0,0
2020-01-28,148,148,147,147,7543100,0,0,0
2020-01-29,147,148,147,148,5013100,0,0,0
2020-01-30,148,149,148,148,9119500,0,0,0
2020-01-31,148,149,148,149,14788300,0,0,0
2020-02-03,148,148,147,148,9105300,0,0,0
2020-02-04,146,147,145,146,10525600,0,0,0
2020-02-05,146,146,146,146,6160700,0,0,0
